Column1,Column2,Column3,Column4
Initializing SD card...card initialized.,,,
Logging to: MLOG09.CSV,,,
millis,stamp,datetime,motion
1000, 947754663, 2000/0/13 9:11:3, Active
1998, 947754663, 2000/0/13 9:11:3, Active
2999, 947754663, 2000/0/13 9:11:3, Active
3999, 947754663, 2000/0/13 9:11:3, Active
4999, 947754663, 2000/0/13 9:11:3, Active
5999, 947754663, 2000/0/13 9:11:3, Active
6999, 947754663, 2000/0/13 9:11:3, Active
7999, 947754663, 2000/0/13 9:11:3, Active
8999, 947754663, 2000/0/13 9:11:3, Active
9999, 947754663, 2000/0/13 9:11:3, Active
10999, 947754663, 2000/0/13 9:11:3, Active
11999, 947754663, 2000/0/13 9:11:3, Active
12999, 947754663, 2000/0/13 9:11:3, Active
14000, 947754663, 2000/0/13 9:11:3, Active
14999, 947754663, 2000/0/13 9:11:3, Inactive
16000, 947754663, 2000/0/13 9:11:3, Inactive
16999, 947754663, 2000/0/13 9:11:3, Inactive
17999, 947754663, 2000/0/13 9:11:3, Active
18999, 947754663, 2000/0/13 9:11:3, Active
19999, 947754663, 2000/0/13 9:11:3, Active
20999, 947754663, 2000/0/13 9:11:3, Active
21999, 947754663, 2000/0/13 9:11:3, Active
23000, 947754663, 2000/0/13 9:11:3, Active
23999, 947754663, 2000/0/13 9:11:3, Active
24999, 947754663, 2000/0/13 9:11:3, Active
25999, 947754663, 2000/0/13 9:11:3, Active
26999, 947754663, 2000/0/13 9:11:3, Active
27999, 947754663, 2000/0/13 9:11:3, Active
28999, 947754663, 2000/0/13 9:11:3, Active
30000, 947754663, 2000/0/13 9:11:3, Active
30999, 947754663, 2000/0/13 9:11:3, Active
32000, 947754663, 2000/0/13 9:11:3, Active
32999, 947754663, 2000/0/13 9:11:3, Active
33999, 947754663, 2000/0/13 9:11:3, Active
34999, 947754663, 2000/0/13 9:11:3, Active
35999, 947754663, 2000/0/13 9:11:3, Active
37000, 947754663, 2000/0/13 9:11:3, Active
37999, 947754663, 2000/0/13 9:11:3, Active
38999, 947754663, 2000/0/13 9:11:3, Active
39999, 947754663, 2000/0/13 9:11:3, Active
40999, 947754663, 2000/0/13 9:11:3, Active
41999, 947754663, 2000/0/13 9:11:3, Active
42999, 947754663, 2000/0/13 9:11:3, Active
43999, 947754663, 2000/0/13 9:11:3, Active
44999, 947754663, 2000/0/13 9:11:3, Active
45999, 947754663, 2000/0/13 9:11:3, Active
46999, 947754663, 2000/0/13 9:11:3, Active
48000, 947754663, 2000/0/13 9:11:3, Active
48999, 947754663, 2000/0/13 9:11:3, Active
49999, 947754663, 2000/0/13 9:11:3, Active
50999, 947754663, 2000/0/13 9:11:3, Active
51999, 947754663, 2000/0/13 9:11:3, Active
52999, 947754663, 2000/0/13 9:11:3, Active
53999, 947754663, 2000/0/13 9:11:3, Active
54999, 947754663, 2000/0/13 9:11:3, Active
55999, 947754663, 2000/0/13 9:11:3, Active
56999, 947754663, 2000/0/13 9:11:3, Active
57999, 947754663, 2000/0/13 9:11:3, Active
58999, 947754663, 2000/0/13 9:11:3, Active
59999, 947754663, 2000/0/13 9:11:3, Active
60999, 947754663, 2000/0/13 9:11:3, Active
61999, 947754663, 2000/0/13 9:11:3, Active
62999, 947754663, 2000/0/13 9:11:3, Active
64000, 947754663, 2000/0/13 9:11:3, Active
64999, 947754663, 2000/0/13 9:11:3, Active
65999, 947754663, 2000/0/13 9:11:3, Active
66999, 947754663, 2000/0/13 9:11:3, Active
67999, 947754663, 2000/0/13 9:11:3, Active
68999, 947754663, 2000/0/13 9:11:3, Active
69999, 947754663, 2000/0/13 9:11:3, Active
70999, 947754663, 2000/0/13 9:11:3, Active
71999, 947754663, 2000/0/13 9:11:3, Active
72998, 947754663, 2000/0/13 9:11:3, Active
73999, 947754663, 2000/0/13 9:11:3, Active
74999, 947754663, 2000/0/13 9:11:3, Active
75999, 947754663, 2000/0/13 9:11:3, Active
76999, 947754663, 2000/0/13 9:11:3, Active
77999, 947754663, 2000/0/13 9:11:3, Active
78999, 947754663, 2000/0/13 9:11:3, Active
80000, 947754663, 2000/0/13 9:11:3, Active
80999, 947754663, 2000/0/13 9:11:3, Active
81999, 947754663, 2000/0/13 9:11:3, Active
82999, 947754663, 2000/0/13 9:11:3, Active
83999, 947754663, 2000/0/13 9:11:3, Active
84999, 947754663, 2000/0/13 9:11:3, Active
85999, 947754663, 2000/0/13 9:11:3, Active
87000, 947754663, 2000/0/13 9:11:3, Active
87999, 947754663, 2000/0/13 9:11:3, Active
88999, 947754663, 2000/0/13 9:11:3, Inactive
89999, 947754663, 2000/0/13 9:11:3, Inactive
90999, 947754663, 2000/0/13 9:11:3, Active
91999, 947754663, 2000/0/13 9:11:3, Active
92999, 947754663, 2000/0/13 9:11:3, Active
93999, 947754663, 2000/0/13 9:11:3, Active
94999, 947754663, 2000/0/13 9:11:3, Active
96000, 947754663, 2000/0/13 9:11:3, Active
96999, 947754663, 2000/0/13 9:11:3, Active
97999, 947754663, 2000/0/13 9:11:3, Active
98999, 947754663, 2000/0/13 9:11:3, Active
99999, 947754663, 2000/0/13 9:11:3, Active
100999, 947754663, 2000/0/13 9:11:3, Active
101999, 947754663, 2000/0/13 9:11:3, Active
102999, 947754663, 2000/0/13 9:11:3, Active
103999, 947754663, 2000/0/13 9:11:3, Active
104999, 947754663, 2000/0/13 9:11:3, Active
105999, 947754663, 2000/0/13 9:11:3, Active
106999, 947754663, 2000/0/13 9:11:3, Active
107999, 947754663, 2000/0/13 9:11:3, Active
108999, 947754663, 2000/0/13 9:11:3, Active
110000, 947754663, 2000/0/13 9:11:3, Active
110999, 947754663, 2000/0/13 9:11:3, Active
112000, 947754663, 2000/0/13 9:11:3, Active
112999, 947754663, 2000/0/13 9:11:3, Active
113999, 947754663, 2000/0/13 9:11:3, Active
114999, 947754663, 2000/0/13 9:11:3, Active
115999, 947754663, 2000/0/13 9:11:3, Active
116999, 947754663, 2000/0/13 9:11:3, Active
117999, 947754663, 2000/0/13 9:11:3, Active
